"country","EPI.change","status","gpd"
"Georgia",-1.3,"#82BBD9",4405.274
"Ghana",-4.4,"#82BBD9",2187.787
"Guinea",-4.2,"#82BBD9",1019.41
"Gambia",3.6,"#82BBD9",746.329
"Guinea-Bissau",-0.9,"#82BBD9",766.749
"Equatorial Guinea",9.6,"#82BBD9",7131.157
"Greece",3.4,"#EF7B86",18168.338
"Grenada",5.4,"#82BBD9",9824.338
"Guatemala",-0.3,"#82BBD9",4239.672
"Guyana",-6.4,"#82BBD9",8648.546
"Honduras",6.5,"#82BBD9",2412.435
"Croatia",13.4,"#82BBD9",14033.238
"Haiti",4.2,"#82BBD9",732.066
"Hungary",3.3,"#82BBD9",15372.885
"Indonesia",4.1,"#82BBD9",4038.404
"India",0,"#82BBD9",1876.525
"Ireland",2.9,"#EF7B86",79668.502
"Iran",9.1,"#82BBD9",7256.949
"Iraq",0.2,"#82BBD9",4438.117
"Iceland",0.4,"#EF7B86",57189.031
"Israel",5.2,"#EF7B86",41559.509
"Italy",1.1,"#EF7B86",30657.296
"Jamaica",2,"#82BBD9",5220.808
"Jordan",11.2,"#82BBD9",4173.849
"Japan",-0.5,"#EF7B86",39047.86
"Kazakhstan",9,"#82BBD9",8781.866
"Kenya",0,"#82BBD9",2075.223
"Kyrgyzstan",-1.9,"#82BBD9",1147.807
"Cambodia",-0.2,"#82BBD9",1571.92
"Kiribati",6.2,"#82BBD9",1638.445
"South Korea",2.2,"#EF7B86",30644.427
"Kuwait",12.8,"#82BBD9",22252.431
"Laos",-2.8,"#82BBD9",2567.006
"Lebanon",1.1,"#82BBD9",2744.764
"Liberia",-3.7,"#82BBD9",653.597
"Saint Lucia",-1.4,"#82BBD9",9780.495
"Sri Lanka",-0.6,"#82BBD9",3697.889
"Lesotho",-1,"#82BBD9",924.208
"Lithuania",5.2,"#82BBD9",19883.066
"Luxembourg",11.6,"#EF7B86",109602.322
"Latvia",5,"#EF7B86",17230.136
"Morocco",13.3,"#82BBD9",3121.381
"Moldova",-2.3,"#82BBD9",4267.726
"Madagascar",-6.6,"#82BBD9",514.854
"Maldives",6.7,"#82BBD9",12464.371
"Mexico",7.4,"#82BBD9",8069.104
"Marshall Islands",1.1,"#82BBD9",4070.617
"North Macedonia",2.2,"#82BBD9",6018.782
"Mali",-3.3,"#82BBD9",899.223
"Malta",11.6,"#EF7B86",28468.65
"Myanmar",-1.2,"#82BBD9",1332.552
"Montenegro",7.3,"#82BBD9",7933.433
"Mongolia",-7.6,"#82BBD9",3989.927
"Mozambique",5.3,"#82BBD9",455.014
"Mauritania",0.3,"#82BBD9",1790.948
"Mauritius",6.2,"#82BBD9",8950.695
"Malawi",-2.6,"#82BBD9",399.097
"Malaysia",4.4,"#82BBD9",10192.457
"Namibia",9.1,"#82BBD9",4051.93
"Niger",-8.1,"#82BBD9",535.831
"Nigeria",3.6,"#82BBD9",2148.91
"Nicaragua",0.1,"#82BBD9",1832.499
"Netherlands",1.5,"#EF7B86",51289.571
"Norway",7.6,"#EF7B86",67988.591
"Nepal",-8.1,"#82BBD9",1115.557
"New Zealand",1.8,"#EF7B86",38675.319
"Oman",11,"#82BBD9",14423.369
"Pakistan",6.1,"#82BBD9",1348.676
"Panama",3.3,"#82BBD9",14090.496
"Peru",-0.8,"#82BBD9",5844.692
"Philippines",-4.1,"#82BBD9",3372.529
"Papua New Guinea",7.7,"#82BBD9",2651.519
"Poland",1.1,"#82BBD9",15303.544
"Portugal",4,"#82BBD9",21608.349
"Paraguay",-4.9,"#82BBD9",4909.394
"Qatar",-4.8,"#82BBD9",52751.108
"Romania",8.1,"#82BBD9",12813.105
"Russia",3.9,"#82BBD9",9972.495
"Rwanda",-1.5,"#82BBD9",823.402
"Saudi Arabia",6.4,"#82BBD9",19586.504
"Sudan",8.4,"#82BBD9",734.597
"Senegal",-2.7,"#82BBD9",1455.467
"Singapore",-8.4,"#EF7B86",58483.961
"Solomon Islands",-2,"#82BBD9",2367.23
"Sierra Leone",0.7,"#82BBD9",518.466
"El Salvador",5.6,"#82BBD9",3821.286
"Serbia",7,"#82BBD9",7497.139
"Sao Tome and Principe",5.3,"#82BBD9",1911.886
"Suriname",-7.1,"#82BBD9",4199.155
"Slovakia",3.9,"#EF7B86",18669.295
"Slovenia",4.6,"#82BBD9",25038.792
"Sweden",5.3,"#EF7B86",50339.201
"Eswatini",-1.6,"#82BBD9",3414.805
"Seychelles",14.8,"#82BBD9",12322.59
"Chad",-0.9,"#82BBD9",639.847
"Togo",-2.1,"#82BBD9",690.275
"Thailand",4.1,"#82BBD9",7295.127
"Tajikistan",-0.7,"#82BBD9",833.545
"Turkmenistan",8.4,"#82BBD9",8073.581
"Timor-Leste",-3,"#82BBD9",1456.046
"Tonga",2.4,"#82BBD9",5023.166
"Trinidad and Tobago",10.7,"#82BBD9",16197.204
"Tunisia",6.4,"#82BBD9",3295.446
"Turkey",2.1,"#82BBD9",7715.373
"Taiwan",4.6,"#EF7B86",26910.229
"Tanzania",1.7,"#82BBD9",1105.548
"Uganda",1.8,"#82BBD9",915.354
"Ukraine",0.7,"#82BBD9",3424.769
"Uruguay",1,"#82BBD9",15331.717
"United States of America",2.9,"#82BBD9",63051.398
"Uzbekistan",3.1,"#82BBD9",1762.856
"Saint Vincent and the Grenadines",6.1,"#82BBD9",7033.082
"Venezuela",-0.5,"#82BBD9",1739.112
"Viet Nam",5.4,"#82BBD9",3497.512
"Vanuatu",-11.9,"#82BBD9",2878.693
"Samoa",-3.9,"#82BBD9",4083.806
"South Africa",8.5,"#82BBD9",4735.747
"Zambia",-7.3,"#82BBD9",1001.44
"Zimbabwe",-7.3,"#82BBD9",921.847
